회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
롯데지주,004990,기타 금융업,지주회사,1974-02-16,12월,"신동빈,황각규,송용덕",http://www.lotte.co.kr,서울특별시
기아자동차,000270,자동차용 엔진 및 자동차 제조업,"승용차,중대형버스,트럭,민수특수차량,군수차량 제조,판매,정비",1973-07-21,12월,최준영,http://www.kia.co.kr,서울특별시
효성,004800,기타 금융업,"스판덱스,합성원사,나일론,폴리에스터,타이어코드지,PET병,수지제품,중전기제품(변압기,차단기),사무용기계,컴퓨터 제조/건축공사",1973-06-30,12월,"Hyun-Joon Cho, Kyoo-Young Kim",http://www.hyosung.com,서울특별시
CJ,001040,기타 금융업,지주회사,1973-06-29,12월,"손경식, 김홍기",http://www.cj.net,서울특별시
두산,000150,회사 본부 및 경영 컨설팅 서비스업,"동박적층판 등 제조 및 판매, 유압기기 등 제조 및 판매, 지게차 제조 및 판매, IT 시스템 개발/운영 서비스 등, 연료전지 등",1973-06-29,12월,"박정원, 동현수, 김민철",http://www.doosancorp.co.kr,서울특별시
DB손해보험,005830,보험업,"자동차보험,화재보험,해상보험,특종보험,장기보험",1973-06-28,12월,김정남,http://www.idbins.com,서울특별시
영진약품,003520,의약품 제조업,"의약품(드링크제,항생제,영양수액제),의약부외품 제조,판매",1973-06-25,12월,이재준,http://www.yungjin.co.kr,서울특별시
케이씨씨,002380,기타 화학제품 제조업,"건축용단열재,내외장재,스레트,밤라이트,암면,석고보드,판유리 제조",1973-06-25,12월,"정몽진, 정몽익",http://www.kccworld.co.kr,서울특별시
롯데칠성음료,005300,비알코올음료 및 얼음 제조업,"청량음료,과채류음료,곡류음료,주류 제조,판매/자동차정비,연수원",1973-06-21,12월,이영구,http://company.lottechilsung.co.kr,서울특별시
롯데푸드,002270,낙농제품 및 식용빙과류 제조업,"빙과,유지,식품 제조",1973-05-09,12월,조경수,http://www.lottefoods.co.kr,서울특별시
아모레퍼시픽그룹,002790,기타 화학제품 제조업,지주회사,1973-04-30,12월,"서경배, 배동현",http://www.apgroup.com,서울특별시
대상,001680,기타 식품 제조업,"전분,라이신,물엿,과당,포도당,MSG및 사료,조미료,항생제,핵산,커피 제조,도매/토목공사,건축공사",1970-04-01,12월,임정배,http://www.daesang.co.kr,서울특별시
LG,003550,기타 금융업,지주회사,1970-02-13,12월,"구광모, 권영수",http://www.lg.co.kr,서울특별시
동아쏘시오홀딩스,000640,기타 금융업,"의약품(피로회복제/박카스,병원용의약품),비의약품(의료기기,염모제,가글제) 제조,도소매/화장품 생산",1970-02-10,12월,한종현,http://www.donga.co.kr,서울특별시
삼양홀딩스,000070,기타 금융업,"지주회사,경영자문컨설팅",1968-12-27,12월,윤재엽,http://www.samyang.com,서울특별시
한국테크놀로지그룹,000240,기타 금융업,"고무타이어,고무튜브,후랩,알루미늄휠의 제조,판매,임대수익,물품운반용기,포장용기(프라스틱)",1968-12-27,12월,조현식,http://www.hankooktire.com,경기도
대한항공,003490,항공 여객 운송업,"여객운송,화물운송,항공기 제조,판매,정비수리/기내식 제조판매,면세품 판매",1966-03-18,12월,"조원태, 우기홍",http://www.koreanair.com,서울특별시
유한양행,000100,의약품 제조업,"의약품(삐콤씨,알마겔,세파졸린주사,아코텍스주사,이세파신,신생아호흡곤란치료제 등),생활용품(유한락스,비누,홈키파),식혜 도매",1962-11-01,12월,대표이사 이정희,http://www.yuhan.co.kr,서울특별시
CJ대한통운,000120,도로 화물 운송업,"Contract Logistics, 포워딩, 항만하역, 해운, 택배국제특송, SCM Consulting",1956-07-02,12월,박근희,http://www.cjlogistics.com,서울특별시
